 unsteadiness, phlegm, blood_in_sputum, malaise, dischromic _patches, burning_micturition, breathlessness, extra_marital_contacts
 watering_from_eyes, passage_of_gases, scurring, stiff_neck, rusty_sputum, cold_hands_and_feets, sinus_pressure, pus_filled_pimples
 knee_pain, red_spots_over_body, shivering, cramps, patches_in_throat, phlegm, runny_nose, stiff_neck
 watering_from_eyes, loss_of_smell, lethargy, family_history, polyuria, drying_and_tingling_lips, red_sore_around_nose, dehydration
 swollen_legs, stomach_bleeding, muscle_wasting, skin_rash, continuous_feel_of_urine, irritation_in_anus, dischromic _patches, continuous_feel_of_urine
 sweating, inflammatory_nails, patches_in_throat, swollen_legs, restlessness, bruising, swollen_extremeties, abdominal_pain
 constipation, blackheads, swollen_legs, bladder_discomfort, abdominal_pain, irritability, cramps, rusty_sputum
 hip_joint_pain, small_dents_in_nails, joint_pain, acidity, muscle_weakness, redness_of_eyes, coma, dark_urine
 bruising, malaise, increased_appetite, scurring, distention_of_abdomen, acute_liver_failure, loss_of_balance, diarrhoea
 slurred_speech, runny_nose, extra_marital_contacts, palpitations, pus_filled_pimples, fluid_overload, pain_during_bowel_movements, loss_of_balance
 loss_of_smell, indigestion, stomach_pain, nausea, swelling_joints, continuous_sneezing, phlegm, knee_pain
 shivering, mild_fever, muscle_wasting, spinning_movements, abnormal_menstruation, spinning_movements, weakness_of_one_body_side, anxiety
 scurring, toxic_look_(typhos), pain_behind_the_eyes, swelled_lymph_nodes, loss_of_balance, continuous_feel_of_urine,itching, yellow_crust_ooze
 irregular_sugar_level, inflammatory_nails, drying_and_tingling_lips, pus_filled_pimples, drying_and_tingling_lips, weakness_in_limbs,, pus_filled_pimples
 blurred_and_distorted_vision, irritability, visual_disturbances, lethargy, swollen_blood_vessels, weight_gain, movement_stiffness, distention_of_abdomen
 weakness_of_one_body_side, muscle_wasting, patches_in_throat, shivering, restlessness, drying_and_tingling_lips, blister, depression
 fatigue, yellowish_skin, irregular_sugar_level, family_history, distention_of_abdomen, yellow_urine, pus_filled_pimples, slurred_speech
 spotting_ urination, foul_smell_of urine, movement_stiffness, swollen_extremeties, brittle_nails, lethargy, cramps, weakness_in_limbs
 continuous_feel_of_urine, loss_of_smell, swollen_extremeties, bloody_stool, joint_pain, back_pain, irritability, malaise
 indigestion, watering_from_eyes, brittle_nails, muscle_pain, dischromic _patches, anxiety, passage_of_gases, chills
, fluid_overload, spotting_ urination, mood_swings, swollen_legs, yellowish_skin, inflammatory_nails, muscle_weakness
 cough, inflammatory_nails, spotting_ urination, depression, yellowish_skin, stomach_pain, increased_appetite, irritability
 palpitations, acute_liver_failure, weakness_in_limbs, malaise, weight_gain, malaise, dizziness, painful_walking
 loss_of_balance, weight_loss, enlarged_thyroid, distention_of_abdomen,, blurred_and_distorted_vision, dehydration, abdominal_pain
 cramps, stomach_bleeding, continuous_sneezing, history_of_alcohol_consumption, spotting_ urination, swelling_joints, cough, yellow_crust_ooze
