,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
0,Fungalinfection,1,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Fungalinfection,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Fungalinfection,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Fungalinfection,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Fungalinfection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Fungalinfection,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Fungalinfection,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Fungalinfection,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Fungalinfection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Fungalinfection,1,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Allergy,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Allergy,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Allergy,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Allergy,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Allergy,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Allergy,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Allergy,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Allergy,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
21,GERD,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
22,GERD,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
23,GERD,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
24,GERD,5,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0
25,GERD,5,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
26,GERD,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
